review,rating
Splendid..i brought it for 699...in this price this the best you can get...with good quality basss and sound...and design,4.0 out of 5 stars
The sound quality of this item is very good but sorry to say that mic function isn't working as I have bought it to sing songs on music tracks specially with starmaker app.,3.0 out of 5 stars
"Would not recommend these headphones: the earpads are made out of leather and the headphones are too tight.

This leads to the leather being pushed against your ears with quite a lot of force. Although decently comfortable at first, it quickly becomes uncomfortable; your ears start paining.

Since this is leather, your ears' heat is quickly absorbed by the leather too. In around 5-10 mins, it becomes very warm due to your body heat, making it even more uncomfortable to wear. There is a noticeable difference in temperature when you take it off for a few minutes and then wear it again.

So if you wear it for more than 20 mins, you can expect your ears to hurt a lot, and also be a few degrees hotter than the rest of your body (which doesn't help with the pain).

It could've been a 5/5, recommendable product. But, due to the aforementioned problems, it's become a 3/5 and non-recommendable due to how uncomfortable it is to wear for extended periods of time.

The hinge is also subpar; it's a little plastic that can easily wear out. After a few minutes of turn the cups around, it wore away enough to the point where it no longer works",3.0 out of 5 stars
"For the price you're paying, don't expect some 'beats by dre' type of sound quality, it's just decent all around. Good for watching movies and playing games, but it's not that comfortable if you're a person who wears glasses, but it's still good nonetheless.",4.0 out of 5 stars
"As I've ignored the reviews that it will Stop working after 2-3 months, I've purchased this product on 8tg July and it stopped working in August. 2 mahine bhi nai chala sahi se . Now I'm facing the difficulty to return it on the Boat service centre which is too far away from my hometown. Disappointed 😞",1.0 out of 5 stars
Overall good,4.0 out of 5 stars
Product is good..but this is my worst experience with Amazon purchase as I opted the option of cash on delivery..but the delivery boy asked me to pay thru QR scan..which I am not using..as it's not reliable..if amazon not accepting COD then why the option for it ...highly dissappointed..will not like to shop further......will also not recommend anyone for shopping from Amazon..,4.0 out of 5 stars
hi fi qlty speakers. good sound even at low volumes. matched perfectly with Android phone.,4.0 out of 5 stars
I bought it over 1 year back and it is still serving me well. Only small issue is it’s grip on my ears sometimes feels but is small trouble for the performance. Never had any issue so far.,5.0 out of 5 stars
"Awesome sound quality
Good bass
Nice vocals
Not that comfortable tho",4.0 out of 5 stars
"I bought this before 7 months , its best sound quality and best bass effect , but comport wasn't expected... Because its joints are loosing and its behave like death snake,,, its still working as good condition",4.0 out of 5 stars
